股票,族群,現價,AI分數,盤勢,交易狀態,市場溫度,日K方向,30分K方向,支撐,壓力,RR,量價判讀,市場狀態,多週期判讀,情境提醒,AI策略劇本,關鍵撐壓 / RR,_cats,_sort,_rr_value,_tone
3661 世芯-KY,ASIC,4105.0,0,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏空,空｜偏空,4050(30M平台) / 4040(前低),4220(30M平台),0.48,量縮｜RV 0.78x｜橫向整理,空方,"日K：空｜偏空
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.78x
主力：一般整理",空方主導，反彈主要是測壓力，追價風險高。族群：ASIC｜75檔清單，空間不足。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 4220(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 4050(30M平台) / 4040(前低) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：4220(30M平台)
支：4050(30M平台) / 4040(前低)
RR: 0.48",ASIC,10,0.48,tone-risk
6919 康霈,自選題材,92.7,33,⚠️ 保守盤,🟠 空方反彈｜看關鍵位,⚠️ 保守盤,空｜強空,多｜強多,88.2(30M平台) / 88.2(前低),100.05(MA60),0.61,量縮｜RV 0.49x｜沿短均線攻擊,反彈,"日K：空｜強空
30M：多｜強多
位階：中繼位階
量能：量縮｜RV 0.49x
主力：短線轉強",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：自選題材｜75檔清單，空間不足。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 88.2(30M平台) / 88.2(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 88.2(30M平台) / 88.2(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 100.05(MA60) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
","壓：100.05(MA60)
支：88.2(30M平台) / 88.2(前低)
RR: 0.61",自選題材,5,0.61,tone-risk
3443 創意,ASIC,4380.0,87,🔥 攻擊盤,🟠 空方反彈｜看關鍵位,🔥 攻擊盤,空｜偏多,多｜強多,4105(30M平台) / 4025(前低),4420(30M平台),6.88,量縮｜RV 0.89x｜沿短均線攻擊,反彈,"日K：空｜偏多
30M：多｜強多
位階：中繼位階
量能：量縮｜RV 0.89x
主力：一般整理",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：ASIC｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 4105(30M平台) / 4025(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 4105(30M平台) / 4025(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 4420(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
","壓：4420(30M平台)
支：4105(30M平台) / 4025(前低)
RR: 6.88",ASIC,5,6.88,tone-watch
3035 智原,ASIC,184.0,58,🌥 中性盤,🟠 空方反彈｜看關鍵位,🌥 中性盤,空｜偏空,多｜偏多,178(30M平台) / 174.5(前低),187.5(30M平台),1.71,量縮｜RV 0.51x｜均線上彎,反彈,"日K：空｜偏空
30M：多｜偏多
位階：中繼位階
量能：量縮｜RV 0.51x
主力：一般整理",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：ASIC｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 178(30M平台) / 174.5(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 178(30M平台) / 174.5(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 187.5(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
","壓：187.5(30M平台)
支：178(30M平台) / 174.5(前低)
RR: 1.71",ASIC,5,1.71,tone-risk
3081 聯亞,光通訊,2195.0,0,⚠️ 保守盤,🟤 跌深反彈後轉弱｜跌深反彈後轉弱,⚠️ 保守盤,空｜強空,空｜偏多,2165(前低) / 2135(30M平台),2240(30M平台) / 2245(前高),0.67,放量｜RV 1.25x｜橫向整理,反彈失敗,"日K：空｜強空
30M：空｜偏多
位階：低檔乖離
量能：放量｜RV 1.25x
主力：一般整理",跌深後的反彈力道有限，若無法站回壓力，仍偏弱勢。族群：光通訊｜75檔清單，空間不足。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 2240(30M平台) / 2245(前高) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 2165(前低) / 2135(30M平台) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：2240(30M平台) / 2245(前高)
支：2165(前低) / 2135(30M平台)
RR: 0.67",光通訊,9,0.67,tone-risk
8299 群聯,記憶體,2310.0,65,🌤 積極盤,🟠 空方反彈｜看關鍵位,🌤 積極盤,空｜偏空,多｜偏多,2200(30M平台) / 2155(前低),2335(30M平台),4.40,量縮｜RV 0.65x｜均線上彎,反彈,"日K：空｜偏空
30M：多｜偏多
位階：中繼位階
量能：量縮｜RV 0.65x
主力：一般整理",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：記憶體｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 2200(30M平台) / 2155(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 2200(30M平台) / 2155(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 2335(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
","壓：2335(30M平台)
支：2200(30M平台) / 2155(前低)
RR: 4.40",記憶體,5,4.4,tone-watch
8039 台虹,PCB載板材料,149.5,100,🌥 中性盤,🔥 主升多｜等突破,🌥 中性盤,多｜偏多,多｜強多,144.05(MA20) / 136(30M平台),153.99(保守壓力),0.82,放量｜RV 1.27x｜沿短均線攻擊,初升,"日K：多｜偏多
30M：多｜強多
位階：中繼位階
量能：放量｜RV 1.27x
主力：一般整理",資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。族群：PCB載板材料｜75檔清單，空間普通。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 144.05(MA20) / 136(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 144.05(MA20) / 136(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 153.99(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
","壓：153.99(保守壓力)
支：144.05(MA20) / 136(30M平台)
RR: 0.82",PCB載板材料,0,0.82,tone-long
2367 燿華,"PCB載板材料,自選",62.7,0,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜強空,空｜偏空,60.82(保守支撐),64.6(前高) / 66.9(30M平台),0.99,放量｜RV 1.45x｜均線下彎,空方,"日K：空｜強空
30M：空｜偏空
位階：中繼位階
量能：放量｜RV 1.45x
主力：高檔轉弱","空方主導，反彈主要是測壓力，追價風險高。族群：PCB載板材料,自選｜75檔清單，空間普通。","
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 64.6(前高) / 66.9(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 60.82(保守支撐) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：64.6(前高) / 66.9(30M平台)
支：60.82(保守支撐)
RR: 0.99","PCB載板材料,自選",10,0.99,tone-risk
1513 中興電,"重電電力設備,自選",167.0,56,🌥 中性盤,👀 多方回檔｜看關鍵位,🌥 中性盤,多｜強多,空｜偏空,164.85(MA20) / 164(30M平台),169.5(30M平台),1.16,量縮｜RV 0.27x｜橫向整理,洗盤,"日K：多｜強多
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.27x
主力：量縮壓縮","主趨勢還沒壞，但短線先進入回檔觀察，重點看支撐是否守穩。族群：重電電力設備,自選｜75檔清單，空間普通。","
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 164.85(MA20) / 164(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 164.85(MA20) / 164(30M平台) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 169.5(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：169.5(30M平台)
支：164.85(MA20) / 164(30M平台)
RR: 1.16","重電電力設備,自選",3,1.16,tone-risk
3231 緯創,AI伺服器,156.0,42,⚠️ 保守盤,💤 空方壓縮｜等方向,⚠️ 保守盤,空｜偏多,空｜偏空,152.5(30M平台) / 152.5(前低),157(大量K) / 157.5(30M平台),3.50,量縮｜RV 0.32x｜橫向整理,空方壓縮,"日K：空｜偏多
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.32x
主力：量縮壓縮",空方整理中，若支撐失守，容易再往下找平衡。族群：AI伺服器｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟦 等待劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 157(大量K) / 157.5(30M平台) 與 152.5(30M平台) / 152.5(前低) 哪一邊先被確認。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">方向還沒選邊，先等更明確的表態。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">在突破或跌破前，先把它當整理盤。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這種盤以等待為主，太早預設方向通常容易被洗。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：157(大量K) / 157.5(30M平台)
支：152.5(30M平台) / 152.5(前低)
RR: 3.50",AI伺服器,6,3.5,tone-risk
3706 神達,AI伺服器,85.5,11,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏多,空｜強空,82.94(保守支撐),86.5(前高) / 87.9(30M平台),2.56,量縮｜RV 0.37x｜均線下彎,空方,"日K：空｜偏多
30M：空｜強空
位階：均線附近
量能：量縮｜RV 0.37x
主力：高檔轉弱",空方主導，反彈主要是測壓力，追價風險高。族群：AI伺服器｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 86.5(前高) / 87.9(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 82.94(保守支撐) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：86.5(前高) / 87.9(30M平台)
支：82.94(保守支撐)
RR: 2.56",AI伺服器,10,2.56,tone-risk
2383 台光電,PCB載板材料,4830.0,0,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏多,空｜偏空,4755(30M平台),5095(前高) / 5095(30M平台),0.28,放量｜RV 1.55x｜均線下彎,空方,"日K：空｜偏多
30M：空｜偏空
位階：中繼位階
量能：放量｜RV 1.55x
主力：高檔轉弱",空方主導，反彈主要是測壓力，追價風險高。族群：PCB載板材料｜75檔清單，空間不足。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 5095(前高) / 5095(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 4755(30M平台) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：5095(前高) / 5095(30M平台)
支：4755(30M平台)
RR: 0.28",PCB載板材料,10,0.28,tone-risk
2359 所羅門,"機器人,自選",134.5,14,⚠️ 保守盤,💤 空方壓縮｜等方向,⚠️ 保守盤,空｜偏多,空｜強空,133.5(30M平台) / 133.5(前低),135.5(前高) / 136.5(30M平台),1.00,量縮｜RV 0.36x｜均線下彎,空方壓縮,"日K：空｜偏多
30M：空｜強空
位階：中繼位階
量能：量縮｜RV 0.36x
主力：量縮壓縮","空方整理中，若支撐失守，容易再往下找平衡。族群：機器人,自選｜75檔清單，空間普通。","
<div class=""script-wrap"">
  <div class=""script-core"">🟦 等待劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 135.5(前高) / 136.5(30M平台) 與 133.5(30M平台) / 133.5(前低) 哪一邊先被確認。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">方向還沒選邊，先等更明確的表態。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">在突破或跌破前，先把它當整理盤。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這種盤以等待為主，太早預設方向通常容易被洗。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：135.5(前高) / 136.5(30M平台)
支：133.5(30M平台) / 133.5(前低)
RR: 1.00","機器人,自選",6,1.0,tone-risk
2421 建準,散熱液冷,144.0,26,⚠️ 保守盤,💤 空方壓縮｜等方向,⚠️ 保守盤,空｜偏空,空｜偏空,142(前低) / 141(30M平台),145(前高) / 146.13(MA60),2.00,量縮｜RV 0.43x｜均線下彎,空方壓縮,"日K：空｜偏空
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.43x
主力：量縮壓縮",空方整理中，若支撐失守，容易再往下找平衡。族群：散熱液冷｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟦 等待劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 145(前高) / 146.13(MA60) 與 142(前低) / 141(30M平台) 哪一邊先被確認。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">方向還沒選邊，先等更明確的表態。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">在突破或跌破前，先把它當整理盤。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這種盤以等待為主，太早預設方向通常容易被洗。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：145(前高) / 146.13(MA60)
支：142(前低) / 141(30M平台)
RR: 2.00",散熱液冷,6,2.0,tone-risk
3260 威剛,記憶體,405.5,9,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏空,空｜偏空,394(30M平台) / 390(前低),408.5(大量K) / 413(30M平台),3.83,量縮｜RV 0.58x｜橫向整理,空方,"日K：空｜偏空
30M：空｜偏空
位階：均線附近
量能：量縮｜RV 0.58x
主力：一般整理",空方主導，反彈主要是測壓力，追價風險高。族群：記憶體｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 408.5(大量K) / 413(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 394(30M平台) / 390(前低) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：408.5(大量K) / 413(30M平台)
支：394(30M平台) / 390(前低)
RR: 3.83",記憶體,10,3.83,tone-risk
5471 松翰,MCU,54.2,99,🌥 中性盤,🔥 主升多｜等突破,🌥 中性盤,多｜強多,多｜強多,52.04(MA20) / 51.7(30M平台),55(30M平台),0.37,放量｜RV 3.13x｜均線上彎,初升,"日K：多｜強多
30M：多｜強多
位階：中繼位階
量能：放量｜RV 3.13x
主力：一般整理",資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。族群：MCU｜75檔清單，空間不足。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 52.04(MA20) / 51.7(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 52.04(MA20) / 51.7(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 55(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
","壓：55(30M平台)
支：52.04(MA20) / 51.7(30M平台)
RR: 0.37",MCU,0,0.37,tone-long
4979 華星光,"光通訊,自選",501.0,27,⚠️ 保守盤,🟤 跌深反彈後轉弱｜跌深反彈後轉弱,⚠️ 保守盤,空｜強空,空｜偏多,473(前低) / 455(30M平台),504(前高) / 508(30M平台),9.33,量縮｜RV 0.26x｜橫向整理,反彈失敗,"日K：空｜強空
30M：空｜偏多
位階：低檔乖離
量能：量縮｜RV 0.26x
主力：一般整理","跌深後的反彈力道有限，若無法站回壓力，仍偏弱勢。族群：光通訊,自選｜75檔清單，空間健康。","
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 504(前高) / 508(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 473(前低) / 455(30M平台) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：504(前高) / 508(30M平台)
支：473(前低) / 455(30M平台)
RR: 9.33","光通訊,自選",9,9.33,tone-risk
8046 南電,PCB載板材料,819.0,0,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏空,空｜偏空,807(30M平台) / 807(前低),833(30M平台) / 847(前高),0.86,量縮｜RV 0.77x｜均線下彎,空方,"日K：空｜偏空
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.77x
主力：高檔轉弱",空方主導，反彈主要是測壓力，追價風險高。族群：PCB載板材料｜75檔清單，空間普通。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 833(30M平台) / 847(前高) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 807(30M平台) / 807(前低) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：833(30M平台) / 847(前高)
支：807(30M平台) / 807(前低)
RR: 0.86",PCB載板材料,10,0.86,tone-risk
2401 凌陽,MCU,28.6,100,🔥 攻擊盤,🔥 主升多｜等突破,🔥 攻擊盤,多｜強多,多｜強多,28.21(MA20) / 27.5(30M平台),29.35(30M平台),1.92,放量｜RV 2.50x｜均線上彎,初升,"日K：多｜強多
30M：多｜強多
位階：中繼位階
量能：放量｜RV 2.50x
主力：一般整理",資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。族群：MCU｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 28.21(MA20) / 27.5(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 28.21(MA20) / 27.5(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 29.35(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間仍充足，以守支撐觀察續攻為主。</div>
</div>
","壓：29.35(30M平台)
支：28.21(MA20) / 27.5(30M平台)
RR: 1.92",MCU,0,1.92,tone-long
