股票,現價,交易狀態,壓力,支撐,AI交易劇本
8299 群聯,2260.0,💤 偏多｜平台整理,2465(平台高) / 2735(前高),2250(平台低) / 2235.75(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 2465 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先看 2465；若 30 分鐘 K 收破 2250，就先退。</div>
        <div class=""script-line defensive"">防守線先看 2250；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 9.07%｜回檔風險 0.44%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
4967 十銓,261.0,⚠️ 空間不足｜避開,263(平台高) / 278.5(前高),257.5(前低) / 254(平台低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 0.77%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 263 不過可偏空；先看 257.5。</div>
        <div class=""script-line defensive"">防守線先看 254；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.77%｜回檔風險 1.34%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
3260 威剛,406.0,⚠️ 空間不足｜避開,409(平台高) / 425(前高),390(前低) / 388.5(平台低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 0.74%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 409 不過可偏空；先看 390。</div>
        <div class=""script-line defensive"">防守線先看 388.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.74%｜回檔風險 3.94%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
2451 創見,309.5,⚠️ 空間不足｜避開,318(平台高) / 336(前高),306.5(前低) / 306(平台低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 2.75%。</div>
        <div class=""script-line defensive"">做多參考：先看 318；若 30 分鐘 K 收破 306.5，就先退。</div>
        <div class=""script-line defensive"">防守線先看 306；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.75%｜回檔風險 0.97%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
4908 前鼎,243.0,⚠️ 空間不足｜避開,248(平台高),231.5(前低) / 217.65(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 2.06%。</div>
        <div class=""script-line defensive"">做多參考：先看 248；若 30 分鐘 K 收破 231.5，就先退。</div>
        <div class=""script-line defensive"">防守線先看 231.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.06%｜回檔風險 4.73%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
3081 聯亞,2590.0,⚡ 結構破壞｜開盤破位,2670(平台高) / 2710(前高),2490(前低) / 2060.43(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line critical"">明天如果一開就跌破平台低，先別硬接，先看有沒有止穩。</div>
        <div class=""script-line defensive"">做空參考：反彈到 2670 不過可偏空；先看 2490。</div>
        <div class=""script-line defensive"">防守線先看 2490；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 3.09%｜回檔風險 3.86%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">明早跳空已經把節奏打亂，先不要急著追，等 30 分鐘收盤後再決定方向。</div>"
3363 上詮,780.0,⚡ 結構破壞｜開盤破位,803(平台高) / 841(前高),775(前低) / 721.57(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line critical"">明天如果一開就跌破平台低，先別硬接，先看有沒有止穩。</div>
        <div class=""script-line defensive"">做空參考：反彈到 803 不過可偏空；先看 775。</div>
        <div class=""script-line defensive"">防守線先看 775；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.95%｜回檔風險 0.64%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">明早跳空已經把節奏打亂，先不要急著追，等 30 分鐘收盤後再決定方向。</div>"
3450 聯鈞,413.5,⚠️ 空間不足｜避開,415(平台高),392.5(前低) / 369.68(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 0.36%。</div>
        <div class=""script-line defensive"">做多參考：先看 415；若 30 分鐘 K 收破 392.5，就先退。</div>
        <div class=""script-line defensive"">防守線先看 392.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.36%｜回檔風險 5.08%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
3163 波若威,949.0,⚠️ 空間不足｜避開,950(前高) / 969(平台高),900(前低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 0.11%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 950 不過可偏空；先看 900。</div>
        <div class=""script-line defensive"">防守線先看 900；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.11%｜回檔風險 5.16%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
2049 上銀,357.0,💤 偏多｜平台整理,376(平台高) / 392.5(前高),356.5(平台低) / 331.15(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 376 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先看 376；若 30 分鐘 K 收破 356.5，就先退。</div>
        <div class=""script-line defensive"">防守線先看 356.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 5.32%｜回檔風險 0.14%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
1536 和大,49.05,⚠️ 空間不足｜避開,50(平台高) / 51.4(前高),48.65(平台低) / 48.15(前低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 1.94%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 50 不過可偏空；先看 48.65。</div>
        <div class=""script-line defensive"">防守線先看 48.65；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 1.94%｜回檔風險 0.82%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
1597 直得,170.5,💤 偏多｜平台整理,180(平台高) / 189.5(前高),170.5(平台低) / 155(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 180 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先看 180；若 30 分鐘 K 收破 170.5，就先退。</div>
        <div class=""script-line defensive"">防守線先看 170.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 5.57%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
4562 穎漢,40.2,💤 偏多｜平台整理,41.8(平台高) / 42.95(前高),39.9(平台低) / 39.05(前低),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 41.8 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先看 41.8；若 30 分鐘 K 收破 39.9，就先退。</div>
        <div class=""script-line defensive"">防守線先看 39.9；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 3.98%｜回檔風險 0.75%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
4571 鈞興-KY,210.5,💤 偏多｜平台整理,227.5(平台高) / 232(前高),206.5(平台低) / 189.4(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 227.5 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先看 227.5；若 30 分鐘 K 收破 206.5，就先退。</div>
        <div class=""script-line defensive"">防守線先看 206.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 8.08%｜回檔風險 1.9%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
2383 台光電,4380.0,⚠️ 偏空｜跌破尋底,4535(平台高) / 4615(前高),4360(平台低) / 3434.48(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line bear"">明天仍偏弱｜4535 沒站回前，反彈先當壓力看。</div>
        <div class=""script-line defensive"">做空參考：反彈到 4535 不過可偏空；先看 4360。</div>
        <div class=""script-line defensive"">防守線先看 4360；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 3.54%｜回檔風險 0.46%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">日K還在偏弱區間，反彈沒站回平台高前，先把壓力看重一點。</div>"
6213 聯茂,235.5,⚠️ 空間不足｜避開,240.5(平台高) / 253(前高),231(平台低) / 201.43(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 2.12%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 240.5 不過可偏空；先看 231。</div>
        <div class=""script-line defensive"">防守線先看 231；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.12%｜回檔風險 1.91%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
